task_run__calibration,task_run__created,task_run__external_uid,task_run__finish_time,task_run__id,task_run__info,task_run__project_id,task_run__task_id,task_run__timeout,task_run__user_id,task_run__user_ip,task_runinfo__coordinates,task_runinfo__page,task_runinfo__text
None,2017-08-23T15:27:54.066898,None,2017-08-23T15:28:15.378635,3919,"{""text"": """", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [640, 436, 1439, 465]}",77,19161,None,10,None,"[640, 436, 1439, 465]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,
None,2017-08-23T15:27:54.407027,None,2017-08-23T15:34:30.073613,3920,"{""text"": ""\u0628\u0633\u0645 \u0627\u0644\u0644\u0647 \u0627\u0644\u0631\u062d\u0645\u0646 \u0627\u0644\u0631\u062d\u06cc\u0645 \u0631\u0628 \u062a\u0645\u0645 \u0628\u0627\u0644\u062e\u06cc\u0631"", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [611, 450, 1458, 534]}",77,19162,None,10,None,"[611, 450, 1458, 534]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,بسم الله الرحمن الرحیم رب تمم بالخیر
None,2017-08-23T15:28:15.508346,None,2017-08-23T15:34:33.733694,3921,"{""text"": """", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [301, 545, 1213, 571]}",77,19163,None,10,None,"[301, 545, 1213, 571]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,
None,2017-08-23T15:34:30.191051,None,2017-08-23T15:40:27.280358,3922,"{""text"": ""\u0642\u0627\u0644 \u0627\u0644\u0646\u0628\u06cc \u0639\u0644\u06cc\u0647 \u0627\u0644\u0633\u0644\u0627\u0645 \u0634\u0631 \u0627\u0644\u0639\u0644\u0645\u0627\u0621 \u0645\u0646 \u0632\u0627\u0631 \u0627\u0644\u0627\u0645\u0631\u0627\u0621 \u0648 \u062e\u06cc\u0631 \u0627\u0644\u0627\u0645\u0631\u0627\u0621 \u0645\u0646 \u0632\u0627\u0631"", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [297, 555, 1589, 636]}",77,19164,None,10,None,"[297, 555, 1589, 636]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,قال النبی علیه السلام شر العلماء من زار الامراء و خیر الامراء من زار
None,2017-08-23T15:34:33.854822,None,2017-08-23T15:40:30.656021,3923,"{""text"": """", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [757, 665, 1695, 691]}",77,19165,None,10,None,"[757, 665, 1695, 691]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,
None,2017-08-23T15:40:27.400681,None,2017-08-23T15:42:43.664969,3924,"{""text"": ""\u0627\u0644\u0639\u0644\u0645\u0627\u0621 \u0646\u0639\u0645 \u0627\u0644\u0627\u0645\u06cc\u0631 \u0639\u0644\u06cc \u0628\u0627\u0628 \u0627\u0644\u0641\u0642\u06cc\u0631 \u0648 \u0628\u0626\u0633 \u0627\u0644\u0641\u0642\u06cc\u0631 \u0639\u0644\u06cc \u0628\u0627\u0628 \u0627\u0644\u0627\u0645\u06cc\u0631."", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [473, 669, 1713, 766]}",77,19166,None,10,None,"[473, 669, 1713, 766]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,العلماء نعم الامیر علی باب الفقیر و بئس الفقیر علی باب الامیر.
None,2017-08-23T15:40:30.771540,None,2017-08-23T15:43:14.219407,3925,"{""text"": ""\u062e\u0644\u0642\u0627\u0646 \u0635\u0648\u0631\u062a \u0627\u06cc\u0646 \u0633\u062e\u0646 \u0631\u0627 \u06af\u0631\u0641\u062a\u0647\u200c\u0627\u0646\u062f \u06a9\u0647 \u0646\u0634\u0627\u06cc\u062f \u06a9\u0647 \u0639\u0627\u0644\u0645 \u0628\u0632\u06cc\u0627\u0631\u062a \u0627\u0645\u06cc\u0631 \u0622\u06cc\u062f \u062a\u0627 \u0627\u0632"", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [301, 782, 1588, 853]}",77,19167,None,10,None,"[301, 782, 1588, 853]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,خلقان صورت این سخن را گرفته‌اند که نشاید که عالم بزیارت امیر آید تا از
None,2017-08-23T15:42:43.790443,None,2017-08-23T15:44:08.052232,3926,"{""text"": ""\u0634\u0631\u0648\u0631 \u0639\u0627\u0644\u0645\u0627\u0646 \u0646\u0628\u0627\u0634\u062f \u0645\u0639\u0646\u06cc\u0634 \u0627\u06cc\u0646 \u0646\u06cc\u0633\u062a \u06a9\u0647 \u067e\u0646\u062f\u0627\u0634\u062a\u0647\u200c\u0627\u0646\u062f \u0628\u0644\u0643 \u0645\u0639\u0646\u06cc\u0634 \u0627\u06cc\u0646\u0633\u062a\u06f2 \u06a9\u0647 \u0634\u0631 \u0639\u0627\u0644\u0645\u0627\u0646"", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [299, 872, 1705, 942]}",77,19168,None,10,None,"[299, 872, 1705, 942]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,شرور عالمان نباشد معنیش این نیست که پنداشته‌اند بلك معنیش اینست۲ که شر عالمان
None,2017-08-23T15:43:14.336591,None,2017-08-23T15:45:26.794677,3927,"{""text"": ""\u0622\u0646\u06a9\u0633 \u0628\u0627\u0634\u062f \u06a9\u0647 \u0627\u0648\u0645\u062f\u062f \u0627\u0632 \u0627\u0645\u0631\u0627 \u06af\u06cc\u0631\u062f \u0648\u0635\u0644\u0627\u062d\u06f3 \u0648\u0633\u062f\u0627\u062f \u0627\u0648 \u0628\u0648\u0627\u0633\u0637\u0647\u0654 \u0627\u0645\u0631\u0627 \u0628\u0627\u0634\u062f \u0648\u0627\u0632 \u062a\u0631\u0633"", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [298, 961, 1704, 1034]}",77,19169,None,10,None,"[298, 961, 1704, 1034]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,آنکس باشد که اومدد از امرا گیرد وصلاح۳ وسداد او بواسطهٔ امرا باشد واز ترس
None,2017-08-23T15:44:08.168803,None,2017-08-23T15:46:00.308234,3928,"{""text"": ""\u0627\u06cc\u0634\u0627\u0646 \u0627\u0648\u0644 \u062e\u0648\u062f \u062a\u062d\u0635\u06cc\u0644 \u0628\u0646\u06cc\u062a \u0622\u0646 \u06a9\u0631\u062f\u0647 \u0628\u0627\u0634\u062f \u06a9\u0647 \u0645\u0631\u0627 \u0627\u0645\u0631\u0627 \u0635\u0644\u062a \u062f\u0647\u0646\u062f \u0648 \u062d\u0631\u0645\u062a \u062f\u0627\u0631\u0646\u062f"", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [296, 1046, 1701, 1117]}",77,19170,None,10,None,"[296, 1046, 1701, 1117]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,ایشان اول خود تحصیل بنیت آن کرده باشد که مرا امرا صلت دهند و حرمت دارند
