task__calibration,task__created,task__id,task__info,task__n_answers,task__priority_0,task__project_id,task__quorum,task__state,taskinfo__bbox,taskinfo__dimensions,taskinfo__image,taskinfo__line_text
0,2017-08-30T12:05:48.506382,22541,"{""line_text"": """", ""image"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""dimensions"": [1906, 2755], ""bbox"": [640, 436, 1439, 465]}",1,0.0,82,0,ongoing,"[640, 436, 1439, 465]","[1906, 2755]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,
0,2017-08-30T12:05:48.924519,22542,"{""line_text"": ""\u0628\u0633\u0645 \u0627\u0644\u0644\u0647 \u0627\u0644\u0631\u062d\u0645\u0646 \u0627\u0644\u0631\u062d\u06cc\u0645 \u0631\u0628 \u062a\u0645\u0645 \u0628\u0627\u0644\u062e\u06cc\u0631"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""dimensions"": [1906, 2755], ""bbox"": [611, 450, 1458, 534]}",1,0.0,82,0,ongoing,"[611, 450, 1458, 534]","[1906, 2755]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,بسم الله الرحمن الرحیم رب تمم بالخیر
0,2017-08-30T12:05:49.345980,22543,"{""line_text"": """", ""image"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""dimensions"": [1906, 2755], ""bbox"": [301, 545, 1213, 571]}",1,0.0,82,0,ongoing,"[301, 545, 1213, 571]","[1906, 2755]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,
0,2017-08-30T12:05:49.868504,22544,"{""line_text"": ""\u0642\u0627\u0644 \u0627\u0644\u0646\u0628\u06cc \u0639\u0644\u06cc\u0647 \u0627\u0644\u0633\u0644\u0627\u0645 \u0634\u0631 \u0627\u0644\u0639\u0644\u0645\u0627\u0621 \u0645\u0646 \u0632\u0627\u0631 \u0627\u0644\u0627\u0645\u0631\u0627\u0621 \u0648 \u062e\u06cc\u0631 \u0627\u0644\u0627\u0645\u0631\u0627\u0621 \u0645\u0646 \u0632\u0627\u0631"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""dimensions"": [1906, 2755], ""bbox"": [297, 555, 1589, 636]}",1,0.0,82,0,ongoing,"[297, 555, 1589, 636]","[1906, 2755]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,قال النبی علیه السلام شر العلماء من زار الامراء و خیر الامراء من زار
0,2017-08-30T12:05:50.280965,22545,"{""line_text"": """", ""image"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""dimensions"": [1906, 2755], ""bbox"": [757, 665, 1695, 691]}",1,0.0,82,0,ongoing,"[757, 665, 1695, 691]","[1906, 2755]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,
0,2017-08-30T12:05:50.699073,22546,"{""line_text"": ""\u0627\u0644\u0639\u0644\u0645\u0627\u0621 \u0646\u0639\u0645 \u0627\u0644\u0627\u0645\u06cc\u0631 \u0639\u0644\u06cc \u0628\u0627\u0628 \u0627\u0644\u0641\u0642\u06cc\u0631 \u0648 \u0628\u0626\u0633 \u0627\u0644\u0641\u0642\u06cc\u0631 \u0639\u0644\u06cc \u0628\u0627\u0628 \u0627\u0644\u0627\u0645\u06cc\u0631."", ""image"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""dimensions"": [1906, 2755], ""bbox"": [473, 669, 1713, 766]}",1,0.0,82,0,ongoing,"[473, 669, 1713, 766]","[1906, 2755]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,العلماء نعم الامیر علی باب الفقیر و بئس الفقیر علی باب الامیر.
0,2017-08-30T12:05:51.121310,22547,"{""line_text"": ""\u062e\u0644\u0642\u0627\u0646 \u0635\u0648\u0631\u062a \u0627\u06cc\u0646 \u0633\u062e\u0646 \u0631\u0627 \u06af\u0631\u0641\u062a\u0647\u200c\u0627\u0646\u062f \u06a9\u0647 \u0646\u0634\u0627\u06cc\u062f \u06a9\u0647 \u0639\u0627\u0644\u0645 \u0628\u0632\u06cc\u0627\u0631\u062a \u0627\u0645\u06cc\u0631 \u0622\u06cc\u062f \u062a\u0627 \u0627\u0632"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""dimensions"": [1906, 2755], ""bbox"": [301, 782, 1588, 853]}",1,0.0,82,0,ongoing,"[301, 782, 1588, 853]","[1906, 2755]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,خلقان صورت این سخن را گرفته‌اند که نشاید که عالم بزیارت امیر آید تا از
0,2017-08-30T12:05:51.538943,22548,"{""line_text"": ""\u0634\u0631\u0648\u0631 \u0639\u0627\u0644\u0645\u0627\u0646 \u0646\u0628\u0627\u0634\u062f \u0645\u0639\u0646\u06cc\u0634 \u0627\u06cc\u0646 \u0646\u06cc\u0633\u062a \u06a9\u0647 \u067e\u0646\u062f\u0627\u0634\u062a\u0647\u200c\u0627\u0646\u062f \u0628\u0644\u0643 \u0645\u0639\u0646\u06cc\u0634 \u0627\u06cc\u0646\u0633\u062a\u06f2 \u06a9\u0647 \u0634\u0631 \u0639\u0627\u0644\u0645\u0627\u0646"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""dimensions"": [1906, 2755], ""bbox"": [299, 872, 1705, 942]}",1,0.0,82,0,ongoing,"[299, 872, 1705, 942]","[1906, 2755]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,شرور عالمان نباشد معنیش این نیست که پنداشته‌اند بلك معنیش اینست۲ که شر عالمان
0,2017-08-30T12:05:51.951462,22549,"{""line_text"": ""\u0622\u0646\u06a9\u0633 \u0628\u0627\u0634\u062f \u06a9\u0647 \u0627\u0648\u0645\u062f\u062f \u0627\u0632 \u0627\u0645\u0631\u0627 \u06af\u06cc\u0631\u062f \u0648\u0635\u0644\u0627\u062d\u06f3 \u0648\u0633\u062f\u0627\u062f \u0627\u0648 \u0628\u0648\u0627\u0633\u0637\u0647\u0654 \u0627\u0645\u0631\u0627 \u0628\u0627\u0634\u062f \u0648\u0627\u0632 \u062a\u0631\u0633"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""dimensions"": [1906, 2755], ""bbox"": [298, 961, 1704, 1034]}",1,0.0,82,0,ongoing,"[298, 961, 1704, 1034]","[1906, 2755]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,آنکس باشد که اومدد از امرا گیرد وصلاح۳ وسداد او بواسطهٔ امرا باشد واز ترس
0,2017-08-30T12:05:52.369529,22550,"{""line_text"": ""\u0627\u06cc\u0634\u0627\u0646 \u0627\u0648\u0644 \u062e\u0648\u062f \u062a\u062d\u0635\u06cc\u0644 \u0628\u0646\u06cc\u062a \u0622\u0646 \u06a9\u0631\u062f\u0647 \u0628\u0627\u0634\u062f \u06a9\u0647 \u0645\u0631\u0627 \u0627\u0645\u0631\u0627 \u0635\u0644\u062a \u062f\u0647\u0646\u062f \u0648 \u062d\u0631\u0645\u062a \u062f\u0627\u0631\u0646\u062f"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""dimensions"": [1906, 2755], ""bbox"": [296, 1046, 1701, 1117]}",1,0.0,82,0,ongoing,"[296, 1046, 1701, 1117]","[1906, 2755]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,ایشان اول خود تحصیل بنیت آن کرده باشد که مرا امرا صلت دهند و حرمت دارند
0,2017-08-30T12:05:52.792501,22551,"{""line_text"": ""\u0648 \u0645\u0646\u0635\u0628 \u062f\u0647\u0646\u062f \u067e\u0633 \u0627\u0632 \u0633\u0628\u0628 \u0627\u0645\u0631\u0627 \u0627\u0648 \u0627\u0635\u0644\u0627\u062d \u067e\u0630\u06cc\u0631\u0641\u062a \u0648\u0627\u0632 \u062c\u0647\u0644 \u0628\u0639\u0644\u0645 \u0645\u0628\u062f\u0644 \u06af\u0634\u062a\u0664 \u0648 \u0686\u0648\u0646"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""dimensions"": [1906, 2755], ""bbox"": [296, 1131, 1701, 1210]}",1,0.0,82,0,ongoing,"[296, 1131, 1701, 1210]","[1906, 2755]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,و منصب دهند پس از سبب امرا او اصلاح پذیرفت واز جهل بعلم مبدل گشت٤ و چون
0,2017-08-30T12:05:53.210057,22552,"{""line_text"": ""\u0639\u0627\u0644\u0645 \u0634\u062f \u0627\u0632 \u062a\u0631\u0633 \u0648 \u0633\u06cc\u0627\u0633\u062a \u0627\u06cc\u0634\u0627\u0646 \u0645\u0624\u062f\u0628 [\u0634\u062f \u0665 ] \u0648 \u0628\u0631\u0648\u0641\u0642 \u0637\u0631\u06cc\u0642 \u0645\u06cc \u0631\u0648\u062f \u06a9\u0627\u0645 \u0648 \u0646\u0627\u06a9\u0627\u0645"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""dimensions"": [1906, 2755], ""bbox"": [293, 1218, 1701, 1309]}",1,0.0,82,0,ongoing,"[293, 1218, 1701, 1309]","[1906, 2755]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,عالم شد از ترس و سیاست ایشان مؤدب [شد ٥ ] و بروفق طریق می رود کام و ناکام
