task_run__calibration,task_run__created,task_run__external_uid,task_run__finish_time,task_run__id,task_run__info,task_run__project_id,task_run__task_id,task_run__timeout,task_run__user_id,task_run__user_ip,task_runinfo__coordinates,task_runinfo__page,task_runinfo__text
None,2017-09-07T18:14:17.460525,None,2017-09-07T18:14:48.205197,5822,"{""text"": """", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [640, 436, 1439, 465]}",82,22541,None,None,129.2.181.234,"[640, 436, 1439, 465]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,
None,2017-09-07T18:14:18.295468,None,2017-09-07T18:15:27.483358,5823,"{""text"": ""\u0628\u0633\u0645 \u0627\u0644\u0644\u0647 \u0627\u0644\u0631\u062d\u0645\u0646 \u0627\u0644\u0631\u062d\u06cc\u0645 \u0631\u0628 \u062a\u0645\u0645 \u0628\u0627\u0644\u062e\u06cc\u0631"", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [611, 450, 1458, 534]}",82,22542,None,None,129.2.181.234,"[611, 450, 1458, 534]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,بسم الله الرحمن الرحیم رب تمم بالخیر
None,2017-09-07T18:14:48.470159,None,2017-09-07T18:15:36.520209,5824,"{""text"": """", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [301, 545, 1213, 571]}",82,22543,None,None,129.2.181.234,"[301, 545, 1213, 571]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,
None,2017-09-20T13:19:39.241374,None,2017-09-20T13:20:17.379660,6019,"{""text"": ""\u0642\u0627\u0644 \u0627\u0644\u0646\u0628\u06cc \u0639\u0644\u06cc\u0647 \u0627\u0644\u0633\u0644\u0627\u0645 \u0634\u0631 \u0627\u0644\u0639\u0644\u0645\u0627\u0621 \u0645\u0646 \u0632\u0627\u0631 \u0627\u0644\u0627\u0645\u0631\u0627\u0621 \u0648 \u062e\u06cc\u0631 \u0627\u0644\u0627\u0645\u0631\u0627\u0621 \u0645\u0646 \u0632\u0627\u0631"", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [297, 555, 1589, 636]}",82,22544,None,None,129.2.181.239,"[297, 555, 1589, 636]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,قال النبی علیه السلام شر العلماء من زار الامراء و خیر الامراء من زار
None,2017-09-20T13:19:39.992976,None,2017-09-20T13:20:20.414115,6020,"{""text"": """", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [757, 665, 1695, 691]}",82,22545,None,None,129.2.181.239,"[757, 665, 1695, 691]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,
None,2017-09-20T18:45:53.954335,None,2017-09-20T18:46:16.455682,6022,"{""text"": ""\u0627\u0644\u0639\u0644\u0645\u0627\u0621 \u0646\u0639\u0645 \u0627\u0644\u0627\u0645\u06cc\u0631 \u0639\u0644\u06cc \u0628\u0627\u0628 \u0627\u0644\u0641\u0642\u06cc\u0631 \u0648 \u0628\u0626\u0633 \u0627\u0644\u0641\u0642\u06cc\u0631 \u0639\u0644\u06cc \u0628\u0627\u0628 \u0627\u0644\u0627\u0645\u06cc\u0631."", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [473, 669, 1713, 766]}",82,22546,None,None,129.2.181.239,"[473, 669, 1713, 766]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,العلماء نعم الامیر علی باب الفقیر و بئس الفقیر علی باب الامیر.
None,2017-09-20T18:45:54.141431,None,2017-09-20T18:46:36.776328,6023,"{""text"": ""\u062e\u0644\u0642\u0627\u0646 \u0635\u0648\u0631\u062a \u0627\u06cc\u0646 \u0633\u062e\u0646 \u0631\u0627 \u06af\u0631\u0641\u062a\u0647\u200c\u0627\u0646\u062f \u06a9\u0647 \u0646\u0634\u0627\u06cc\u062f \u06a9\u0647 \u0639\u0627\u0644\u0645 \u0628\u0632\u06cc\u0627\u0631\u062a \u0627\u0645\u06cc\u0631 \u0622\u06cc\u062f \u062a\u0627 \u0627\u0632"", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [301, 782, 1588, 853]}",82,22547,None,None,129.2.181.239,"[301, 782, 1588, 853]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,خلقان صورت این سخن را گرفته‌اند که نشاید که عالم بزیارت امیر آید تا از
None,2017-09-20T18:46:16.649467,None,2017-09-20T18:47:38.011988,6024,"{""text"": ""\u0634\u0631\u0648\u0631 \u0639\u0627\u0644\u0645\u0627\u0646 \u0646\u0628\u0627\u0634\u062f \u0645\u0639\u0646\u06cc\u0634 \u0627\u06cc\u0646 \u0646\u06cc\u0633\u062a \u06a9\u0647 \u067e\u0646\u062f\u0627\u0634\u062a\u0647\u200c\u0627\u0646\u062f \u0628\u0644\u0643 \u0645\u0639\u0646\u06cc\u0634 \u0627\u06cc\u0646\u0633\u062a\u06f2 \u06a9\u0647 \u0634\u0631 \u0639\u0627\u0644\u0645\u0627\u0646"", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [299, 872, 1705, 942]}",82,22548,None,None,129.2.181.239,"[299, 872, 1705, 942]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,شرور عالمان نباشد معنیش این نیست که پنداشته‌اند بلك معنیش اینست۲ که شر عالمان
None,2017-09-20T18:46:36.970954,None,2017-09-20T18:49:10.795248,6025,"{""text"": ""\u0622\u0646\u06a9\u0633 \u0628\u0627\u0634\u062f \u06a9\u0647 \u0627\u0648\u0645\u062f\u062f \u0627\u0632 \u0627\u0645\u0631\u0627 \u06af\u06cc\u0631\u062f \u0648\u0635\u0644\u0627\u062d\u06f3 \u0648\u0633\u062f\u0627\u062f \u0627\u0648 \u0628\u0648\u0627\u0633\u0637\u0647\u0654 \u0627\u0645\u0631\u0627 \u0628\u0627\u0634\u062f \u0648\u0627\u0632 \u062a\u0631\u0633"", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [298, 961, 1704, 1034]}",82,22549,None,None,129.2.181.239,"[298, 961, 1704, 1034]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,آنکس باشد که اومدد از امرا گیرد وصلاح۳ وسداد او بواسطهٔ امرا باشد واز ترس
None,2017-09-20T18:47:38.212050,None,2017-09-20T18:49:28.944813,6026,"{""text"": ""\u0627\u06cc\u0634\u0627\u0646 \u0627\u0648\u0644 \u062e\u0648\u062f \u062a\u062d\u0635\u06cc\u0644 \u0628\u0646\u06cc\u062a \u0622\u0646 \u06a9\u0631\u062f\u0647 \u0628\u0627\u0634\u062f \u06a9\u0647 \u0645\u0631\u0627 \u0627\u0645\u0631\u0627 \u0635\u0644\u062a \u062f\u0647\u0646\u062f \u0648 \u062d\u0631\u0645\u062a \u062f\u0627\u0631\u0646\u062f"", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [296, 1046, 1701, 1117]}",82,22550,None,None,129.2.181.239,"[296, 1046, 1701, 1117]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,ایشان اول خود تحصیل بنیت آن کرده باشد که مرا امرا صلت دهند و حرمت دارند
None,2017-09-20T18:49:10.988318,None,2017-09-20T18:49:53.572628,6027,"{""text"": ""\u0648 \u0645\u0646\u0635\u0628 \u062f\u0647\u0646\u062f \u067e\u0633 \u0627\u0632 \u0633\u0628\u0628 \u0627\u0645\u0631\u0627 \u0627\u0648 \u0627\u0635\u0644\u0627\u062d \u067e\u0630\u06cc\u0631\u0641\u062a \u0648\u0627\u0632 \u062c\u0647\u0644 \u0628\u0639\u0644\u0645 \u0645\u0628\u062f\u0644 \u06af\u0634\u062a\u0664 \u0648 \u0686\u0648\u0646"", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [296, 1131, 1701, 1210]}",82,22551,None,None,129.2.181.239,"[296, 1131, 1701, 1210]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,و منصب دهند پس از سبب امرا او اصلاح پذیرفت واز جهل بعلم مبدل گشت٤ و چون
None,2017-09-20T18:49:29.129705,None,2017-09-20T18:50:53.400701,6028,"{""text"": ""\u0639\u0627\u0644\u0645 \u0634\u062f \u0627\u0632 \u062a\u0631\u0633 \u0648 \u0633\u06cc\u0627\u0633\u062a \u0627\u06cc\u0634\u0627\u0646 \u0645\u0624\u062f\u0628 [ \u0634\u062f \u0665 ] \u0648 \u0628\u0631\u0648\u0641\u0642 \u0637\u0631\u06cc\u0642 \u0645\u06cc \u0631\u0648\u062f \u06a9\u0627\u0645 \u0648 \u0646\u0627\u06a9\u0627\u0645"", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [293, 1218, 1701, 1309]}",82,22552,None,None,129.2.181.239,"[293, 1218, 1701, 1309]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,عالم شد از ترس و سیاست ایشان مؤدب [ شد ٥ ] و بروفق طریق می رود کام و ناکام
None,2017-09-20T18:49:53.783366,None,2017-09-20T18:51:32.232607,6029,"{""text"": ""\u0628\u0633 \u0627\u0648 \u0639\u0644\u06cc \u06a9\u0644 \u062d\u0627\u0644\u060c\u0627\u06af\u0631 \u0627\u0645\u06cc\u0631 \u0628\u0635\u0648\u0631\u062a \u0628\u0632\u06cc\u0627\u0631\u062a \u0627\u0648 \u0622\u06cc\u062f\u060c \u0648\u0627\u06af\u0631 \u0627\u0648 \u0628\u0632\u06cc\u0627\u0631\u062a \u0627\u0645\u06cc\u0631 \u0631\u0648\u062f\u0666"", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [298, 1308, 1685, 1387]}",82,22553,None,None,129.2.181.239,"[298, 1308, 1685, 1387]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,بس او علی کل حال،اگر امیر بصورت بزیارت او آید، واگر او بزیارت امیر رود٦
None,2017-09-20T18:50:53.595182,None,2017-09-20T18:51:52.469249,6030,"{""text"": ""\u0632\u0627\u06cc\u0631 \u0628\u0627\u0634\u062f\u0667 \u0648 \u0627\u0645\u06cc\u0631 \u0645\u0632\u0648\u0631 \u0648 \u0686\u0648\u0646 \u0639\u0627\u0644\u0645 \u062f\u0631\u0635\u062f\u062f \u0622\u0646 \u0628\u0627\u0634\u062f \u06a9\u0647 \u0627\u0648 \u0628\u0633\u0628\u0628\u0668 \u0627\u0645\u0631\u0627 \u0628\u0639\u0644\u0645 \u0645\u062a\u0635\u0641"", ""page"": ""http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png"", ""coordinates"": [291, 1399, 1698, 1476]}",82,22554,None,None,129.2.181.239,"[291, 1399, 1698, 1476]",http://35.165.192.9:5000/api/v1/pages/730681a1de5b485eacf5c3a46eb95924/fmf_0001_any_to_png_nlbin_0.5_0.5_1_0.1_80_20_5_90.png,زایر باشد٧ و امیر مزور و چون عالم درصدد آن باشد که او بسبب٨ امرا بعلم متصف
