task__calibration,task__created,task__id,task__info,task__n_answers,task__priority_0,task__project_id,task__quorum,task__state,taskinfo__bbox,taskinfo__dimensions,taskinfo__image,taskinfo__line_text
0,2017-07-21T10:28:31.216633,7684,"{""line_text"": ""\u05e1\u05e0\u05d4\u05d3\u05e8\u05d9\u05df \u05d2 ]6-9[ 419"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png"", ""dimensions"": [4531, 5863], ""bbox"": [1064, 583, 2719, 704]}",1,0.0,60,0,completed,"[1064, 583, 2719, 704]","[4531, 5863]",http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png,סנהדרין ג ]6-9[ 419
0,2017-07-21T10:28:31.228486,7685,"{""line_text"": ""1\u05ea\u05dc' \u05dc\u05d5\u05dd' \u05d5\u05d0\u05db\u05dc\u05d5: \u05dc\u05e4\u05e0\u05d9} \u05d9\""\u05d9 \u05d0\u05dc\u05d4\u05d9\u05da \u05de\u05e2\u05e9\u05e8 \u05d3\u05d1\u05e0\u05da \u05d5\u05ea\u05d9\u05e8' \u05d5\u05d9\u05e6\u05d4' \u05d5\u05d1\u05d1\u05d5\u05e8\u05d5\u05d7"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png"", ""dimensions"": [4531, 5863], ""bbox"": [1063, 774, 3742, 884]}",1,0.0,60,0,completed,"[1063, 774, 3742, 884]","[4531, 5863]",http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png,"1תל' לום' ואכלו: לפני} י""י אלהיך מעשר דבנך ותיר' ויצה' ובבורוח"
0,2017-07-21T10:28:31.239549,7686,"{""line_text"": ""\u05de\u05d4 \u05d1\u05db\u05d5\u05e8 \u05d0\u05d9\u05df \u05e0\u05d0\u05db\u05dc \u05d0\u05dc\u05d0 \u05dc\u05e4\u05e0\u05d9\u05dd \u05e1\u05df \u05d4\u05d7\u05d5\u05e4\u05d4 \u05d0\u05e3 \u05e1\u05e2\u05e9\u05e8 \u05e9\u05d9\u05e0\u05d9 \u05dc\u05d0 \u05d9\u05d4\u05d0 \u05e0\u05d0\u05db\u05dc"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png"", ""dimensions"": [4531, 5863], ""bbox"": [1069, 882, 3692, 988]}",1,0.0,60,0,completed,"[1069, 882, 3692, 988]","[4531, 5863]",http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png,מה בכור אין נאכל אלא לפנים סן החופה אף סעשר שיני לא יהא נאכל
0,2017-07-21T10:28:31.250495,7687,"{""line_text"": ""\u05d0\u05dc\u05d0 \u05dc\u05e4\u05e0\u05d9\u05dd \u05de\u05df \u05d4\u05d7\u05d5\u05de\u05d4: \u201d\u05e8' \u05d9\u05e9\u05de\u05e2\u05d0\u05dc \u05d0\u05d5\u05de\u05e8 \u05d9\u05db\u05d5\u05dc \u05d9\u05d4\u05d0 \u05d0\u05d3\u05dd \u05de\u05e2\u05dc\u05d4 \u05de\u05e2\u05e9\u05e8 \u05e9\u05d9\u05e0\u05d9"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png"", ""dimensions"": [4531, 5863], ""bbox"": [1063, 984, 3692, 1085]}",1,0.0,60,0,completed,"[1063, 984, 3692, 1085]","[4531, 5863]",http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png,אלא לפנים מן החומה: ”ר' ישמעאל אומר יכול יהא אדם מעלה מעשר שיני
0,2017-07-21T10:28:31.261453,7688,"{""line_text"": ""\u05d1\u05d9\u05e8\u05d5\u05e9\u05dc\u05dd \u05d1\u05d6\u05de\u05df \u05d4\u05d6\u05d4 \u05d5\u05d0\u05db\u05dc\u05d5 \u05d5\u05d3\u05d9\u05df \u05d4\u05d5\u05d0 # \u05d4\u05d1\u05db\u05d5\u05e8 \u05d8\u05e2\u05d5\u05df \u05d4\u05d1\u05d0\u05d4 \u05de\u05e7\u05d5\u05dd \u05d5\u05de\u05e2\u05e9\u05e8 \u05e9\u05d9\u05e0\u05d9 \u05d8\u05e2\u05d5\u05df"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png"", ""dimensions"": [4531, 5863], ""bbox"": [1062, 1088, 3693, 1194]}",1,0.0,60,0,completed,"[1062, 1088, 3693, 1194]","[4531, 5863]",http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png,בירושלם בזמן הזה ואכלו ודין הוא # הבכור טעון הבאה מקום ומעשר שיני טעון
0,2017-07-21T10:28:31.284091,7689,"{""line_text"": ""5\u05d4\u05d1\u05d0\u05d4 \u05de\u05e7\u05d5\u05dd \u05de\u05d4 \u05d1\u05db\u05d5\u05e8 \u05be \u05d0\u05d9\u05e0\u05d5 \u05e0\u05d0\u05db\u05dc \u05d0\u05dc\u05d0 \u05d1\u05e4\u05e0\u05d9 \u05d4\u05d1\u05d9\u05ea \u05d0\u05e3 \u05de\u05e2\u05e9\u05e8 \u05e9\u05d9\u05e0\u05d9 \u05d0\u05d9\u05e0\u05d5"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png"", ""dimensions"": [4531, 5863], ""bbox"": [1067, 1192, 3751, 1299]}",1,0.0,60,0,completed,"[1067, 1192, 3751, 1299]","[4531, 5863]",http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png,5הבאה מקום מה בכור ־ אינו נאכל אלא בפני הבית אף מעשר שיני אינו
0,2017-07-21T10:28:31.295255,7690,"{""line_text"": ""\u05e0\u05d0\u05db\u05dc \u05d0\u05dc\u05d0 \u05d1\u05e4\u05e0\u05d9 \u05d4\u05d1\u05d9\u05ea \u05dc\u05d0 \u05d0\u05dd \u05d0\u05de\u05e8\u05ea\u05d4 \u05d1\u05d1\u05d1\u05d5\u05e8 \u05e9\u05d9\u05e9 \u05d4\u05d9\u05de\u05e0\u05d5 \u05d3\u05de\u05d9\u05dd \u05d5\u05d0\u05de\u05d5\u05df? \u05dc\u05d1\u05d1\u05d9"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png"", ""dimensions"": [4531, 5863], ""bbox"": [1069, 1292, 3694, 1411]}",1,0.0,60,0,completed,"[1069, 1292, 3694, 1411]","[4531, 5863]",http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png,נאכל אלא בפני הבית לא אם אמרתה בבבור שיש הימנו דמים ואמון? לבבי
0,2017-07-21T10:28:31.311964,7691,"{""line_text"": ""\u05de\u05d5\u05d1\u05d4 \u05ea\u05d0\u05de\u05e8 \u05d1\u05de\u05e2\u05e9\u05e8 \u05e9\u05d9\u05e0\u05d9 \u05e9\u05d0\u05d9\u05df \u05d4\u05d9\u05de\u05e0\u05d5 \u05d3'\u05de\u05d9\u05dd \u05d5\u05d0\u05d9\u05de\u05d5\u05da\u05d9\u05df \u05dc\u05d1\u05d1\u05d9 \u05de\u05d5\u05db\u05d4 \u05d1\u05d9\u05db\u05d5\u05e8\u05d9\u05dd"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png"", ""dimensions"": [4531, 5863], ""bbox"": [1067, 1418, 3694, 1528]}",1,0.0,60,0,completed,"[1067, 1418, 3694, 1528]","[4531, 5863]",http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png,מובה תאמר במעשר שיני שאין הימנו ד'מים ואימוךין לבבי מוכה ביכורים
0,2017-07-21T10:28:31.323516,7692,"{""line_text"": ""\u05d9\u05d5\u05d1\u05d9\u05d4\u05d5 \u05e9\u05d0\u05d9\u05df \u05d1\u05d4\u05dd \u05d3\u05de\u05d9\u05dd \u05d5\u05d0\u05d9\u05de\u05d5\u05df\u05d9\u05df \u05dc\u05d1\u05d1\u05d9 \u05de\u05d6\u05d1\u05d7 \u05d5\u05d0\u05d9\u05df \u05e0\u05d0\u05d1\u05dc\u05d9\u05df \u05d0\u05dc\u05d0 \u05d1\u05e4\u05e0\u05d9 \u05d4\u05d1\u05d9\u05ea \u05dc\u05d0 \u05d0\u05dd"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png"", ""dimensions"": [4531, 5863], ""bbox"": [1071, 1536, 3692, 1645]}",1,0.0,60,0,completed,"[1071, 1536, 3692, 1645]","[4531, 5863]",http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png,יוביהו שאין בהם דמים ואימוןין לבבי מזבח ואין נאבלין אלא בפני הבית לא אם
0,2017-07-21T10:28:31.334577,7693,"{""line_text"": ""\u05d0\u05dd\u05e8\u05ea\u05d4\u05be \u05d1\u05d1\u05d9\u05db\u05d5\u05e8\u05d9\u05dd \u05e9\u05d4\u05df\u05d0 \u05de\u05e2\u05d5\u05e0\u05d9\u05df \u05d4\u05e0\u05d7\u05d4 \u05dc\u05e4\u05e0\u05d9 \u05d4\u05de\u05d5\u05d1\u05ea \u05ea\u05d0\u05de\u05e8 \u05d1\u05de\u05e2\u05e9\u05e8 \u05e9\u05d9\u05e0\u05d9 \u05e9\u05d0\u05d9\u05df \u05d8\u05e2\u05d5\u05df"", ""image"": ""http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png"", ""dimensions"": [4531, 5863], ""bbox"": [1068, 1654, 3694, 1759]}",1,0.0,60,0,completed,"[1068, 1654, 3694, 1759]","[4531, 5863]",http://35.165.192.9:5000/api/v1/pages/c75235d932f34b25ac1dd50086175852/Zuckermandel_Page_03_rgb_to_gray_any_to_png_nlbin_0.5_0.5_1.0_0.1_80_20_5_90.png,אםרתה־ בביכורים שהןא מעונין הנחה לפני המובת תאמר במעשר שיני שאין טעון
